Date,Point,Step Point,Cycler Status,Remote Control,DC Out/In,Operation Mode,Regulation Mode,Time,Set Voltage (V),Set PS Current (A),Set PS Power (W),Set PS Res. (Ohm),Set EL Current (A),Set EL Power (W),Set EL Res. (Ohm),PSB Voltage (V),PSB Current (A),PSB Power (W),ADC Voltage (V),ADC Current (A),ADC Power (W),ADC T. Battery (°C),ADC T. Ambient (°C),ADC T. Shunt (°C),SOH PS (Ah),SOH EL (Ah)
2026/02/23 15:27:28,0,1,Step ON,On,On,UIR,Mode CC,0.0,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.126,-0.56,-1.7,3.363,0.00,0.0,19.7,-55.0,19.7,0.000000,0.000000
2026/02/23 15:27:29,1,1,Step ON,On,On,UIR,Mode CC,0.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.168,-0.33,-1.1,3.372,-0.23,-0.7,19.7,-55.0,19.7,0.000000,0.000005
2026/02/23 15:27:29,2,1,Step ON,On,On,UIR,Mode CC,0.2,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.161,-0.33,-1.1,3.083,-0.39,-1.2,19.7,-55.0,19.7,0.000000,0.000015
2026/02/23 15:27:29,3,1,Step ON,On,On,UIR,Mode CC,0.3,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.159,-0.33,-1.1,3.166,-0.37,-1.1,19.7,-55.0,19.7,0.000000,0.000026
2026/02/23 15:27:29,4,1,Step ON,On,On,UIR,Mode CC,0.4,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.154,-0.33,-1.1,3.161,-0.37,-1.1,19.7,-55.0,19.7,0.000000,0.000036
2026/02/23 15:27:29,5,1,Step ON,On,On,UIR,Mode CC,0.5,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.154,-0.33,-1.1,3.158,-0.37,-1.1,19.7,-55.0,19.7,0.000000,0.000047
2026/02/23 15:27:29,6,1,Step ON,On,On,UIR,Mode CC,0.6,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.152,-0.33,-1.1,3.155,-0.37,-1.1,19.7,-55.0,19.7,0.000000,0.000057
2026/02/23 15:27:29,7,1,Step ON,On,On,UIR,Mode CC,0.7,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.149,-0.33,-1.1,3.154,-0.37,-1.1,19.7,-55.0,19.7,0.000000,0.000068
2026/02/23 15:27:29,8,1,Step ON,On,On,UIR,Mode CC,0.8,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.147,-0.33,-1.1,3.152,-0.37,-1.1,19.7,-55.0,19.7,0.000000,0.000078
2026/02/23 15:27:29,9,1,Step ON,On,On,UIR,Mode CC,0.9,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.147,-0.33,-1.1,3.150,-0.37,-1.1,19.7,-55.0,19.2,0.000000,0.000089
2026/02/23 15:27:29,10,1,Step ON,On,On,UIR,Mode CC,1.0,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.147,-0.33,-1.1,3.149,-0.37,-1.1,19.7,-55.0,19.2,0.000000,0.000099
2026/02/23 15:27:30,11,1,Step ON,On,On,UIR,Mode CC,1.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.145,-0.33,-1.0,3.148,-0.37,-1.1,19.7,-55.0,19.2,0.000000,0.000110
2026/02/23 15:27:30,12,1,Step ON,On,On,UIR,Mode CC,1.2,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.145,-0.33,-1.0,3.147,-0.37,-1.1,19.3,-55.0,19.2,0.000000,0.000121
2026/02/23 15:27:30,13,1,Step ON,On,On,UIR,Mode CC,1.3,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.145,-0.33,-1.0,3.146,-0.37,-1.1,19.3,-55.0,19.2,0.000000,0.000131
2026/02/23 15:27:30,14,1,Step ON,On,On,UIR,Mode CC,1.4,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.143,-0.33,-1.0,3.145,-0.37,-1.1,19.3,-55.0,19.2,0.000000,0.000142
2026/02/23 15:27:30,15,1,Step ON,On,On,UIR,Mode CC,1.5,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.143,-0.33,-1.0,3.145,-0.37,-1.1,19.3,-55.0,19.3,0.000000,0.000152
2026/02/23 15:27:30,16,1,Step ON,On,On,UIR,Mode CC,1.6,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.143,-0.33,-1.0,3.144,-0.37,-1.1,19.3,-55.0,19.3,0.000000,0.000163
2026/02/23 15:27:30,17,1,Step ON,On,On,UIR,Mode CC,1.7,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.140,-0.33,-1.0,3.143,-0.37,-1.1,19.4,-55.0,19.3,0.000000,0.000173
2026/02/23 15:27:30,18,1,Step ON,On,On,UIR,Mode CC,1.8,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.140,-0.33,-1.0,3.142,-0.37,-1.1,19.4,-55.0,19.3,0.000000,0.000184
2026/02/23 15:27:30,19,1,Step ON,On,On,UIR,Mode CC,1.9,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.140,-0.33,-1.0,3.141,-0.37,-1.1,19.4,-55.0,19.3,0.000000,0.000194
2026/02/23 15:27:30,20,1,Step ON,On,On,UIR,Mode CC,2.0,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.138,-0.33,-1.0,3.141,-0.37,-1.1,19.4,-55.0,19.4,0.000000,0.000205
2026/02/23 15:27:31,21,1,Step ON,On,On,UIR,Mode CC,2.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.138,-0.33,-1.0,3.140,-0.37,-1.1,19.4,-55.0,19.4,0.000000,0.000215
2026/02/23 15:27:31,22,1,Step ON,On,On,UIR,Mode CC,2.2,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.138,-0.33,-1.0,3.140,-0.37,-1.1,19.4,-55.0,19.4,0.000000,0.000226
2026/02/23 15:27:31,23,1,Step ON,On,On,UIR,Mode CC,2.3,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.138,-0.33,-1.0,3.139,-0.37,-1.1,19.5,-55.0,19.4,0.000000,0.000236
2026/02/23 15:27:31,24,1,Step ON,On,On,UIR,Mode CC,2.4,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.136,-0.33,-1.0,3.139,-0.37,-1.1,19.5,-55.0,19.4,0.000000,0.000247
2026/02/23 15:27:31,25,1,Step ON,On,On,UIR,Mode CC,2.5,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.136,-0.33,-1.0,3.138,-0.37,-1.1,19.5,-55.0,19.4,0.000000,0.000257
2026/02/23 15:27:31,26,1,Step ON,On,On,UIR,Mode CC,2.6,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.136,-0.33,-1.0,3.137,-0.37,-1.1,19.5,-55.0,19.5,0.000000,0.000267
2026/02/23 15:27:31,27,1,Step ON,On,On,UIR,Mode CC,2.7,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.133,-0.33,-1.0,3.136,-0.37,-1.1,19.5,-55.0,19.5,0.000000,0.000278
2026/02/23 15:27:31,28,1,Step ON,On,On,UIR,Mode CC,2.8,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.133,-0.33,-1.0,3.135,-0.37,-1.1,19.5,-55.0,19.5,0.000000,0.000288
2026/02/23 15:27:31,29,1,Step ON,On,On,UIR,Mode CC,2.9,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.133,-0.33,-1.0,3.135,-0.37,-1.1,19.5,-55.0,19.5,0.000000,0.000299
2026/02/23 15:27:31,30,1,Step ON,On,On,UIR,Mode CC,3.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.133,-0.33,-1.0,3.135,-0.37,-1.1,19.5,-55.0,19.5,0.000000,0.000309
2026/02/23 15:27:32,31,1,Step ON,On,On,UIR,Mode CC,3.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.131,-0.33,-1.0,3.135,-0.37,-1.1,19.5,-55.0,19.5,0.000000,0.000315
2026/02/23 15:27:32,32,1,Step ON,On,On,UIR,Mode CC,3.2,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.131,-0.33,-1.0,3.134,-0.37,-1.1,19.5,-55.0,19.5,0.000000,0.000325
2026/02/23 15:27:32,33,1,Step ON,On,On,UIR,Mode CC,3.3,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.131,-0.33,-1.0,3.134,-0.37,-1.1,19.5,-55.0,19.6,0.000000,0.000336
2026/02/23 15:27:32,34,1,Step ON,On,On,UIR,Mode CC,3.4,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.131,-0.33,-1.0,3.133,-0.37,-1.1,19.5,-55.0,19.6,0.000000,0.000346
2026/02/23 15:27:32,35,1,Step ON,On,On,UIR,Mode CC,3.5,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.129,-0.33,-1.0,3.133,-0.37,-1.1,19.5,-55.0,19.6,0.000000,0.000357
2026/02/23 15:27:32,36,1,Step ON,On,On,UIR,Mode CC,3.6,2.999,0.00,1.9,0.498,0.33,1.9,0.498,3.129,-0.33,-1.0,3.132,-0.37,-1.1,19.7,-55.0,19.6,0.000000,0.000367
