Numero,SoH(Ah),Impedancia
1,0.335735,0.0863535
2,0.340149,0.170307
3,0.36167,0.1692331
4,0.331654,0.087558
5,0.302161,0.1716258
6,0.345978,0.1528916
7,0.339422,0.1690303
8,0.287277,0.2108088
9,0.342146,0.0899847
10,0.340374,0.136096
11,0.330512,0.1370924
12,0.335763,0.1105963
13,0.343665,0.3294793
14,0.281199,0.1907803
15,0.346292,0.0862554
16,0.358724,0.0917821
17,0.333173,0.1158241
18,0.324965,0.1266471
19,0.29439,0.1871659
20,0.344466,0.201654
21,0.345323,0.0715328
22,0.362929,0.1003077
23,0.316819,0.1458607
24,0.334309,0.1195215
25,0.288062,0.2325046
26,0.344176,0.2552712
27,0.354084,0.219561
28,0.369454,0.1253864
29,0.337994,0.1004127
30,0.310809,0.1337677
31,0.348332,0.1179951
32,0.300527,0.2425492
33,0.334904,0.1384966
34,0.367375,0.1390465
35,0.340035,0.1623621
36,0.339868,0.1136042
