Bateria_Num,Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange,Imod,Vmod,Temp
1,0,5,10019.53,0.0863535,-0.0028741,1,0.0864013,-1.906296,-3.683363E-005,4.039976,11,0.0495177,0.0042784,1473.314
1,1,6,7928.241,0.0873498,-0.0042141,1,0.0874514,-2.762011,-0.0003377,4.039848,11,0.069174,0.0060494,1473.223
1,2,8,6307.871,0.0884171,-0.0054114,1,0.0885826,-3.502322,-0.0001342,4.039884,11,0.0755476,0.0066922,1474.493
1,3,9,5034.722,0.0895393,-0.0064841,1,0.0897737,-4.141909,-2.488757E-005,4.039928,11,0.0563974,0.0050442,1473.223
1,4,11,3993.056,0.0908093,-0.0074594,1,0.0911151,-4.695928,-2.57389E-005,4.039922,11,0.0592235,0.0053862,1474.493
1,5,12,3144.055,0.0922446,-0.0084018,1,0.0926264,-5.204215,3.971238E-005,4.039978,11,0.0569123,0.0052666,1473.223
1,6,14,2519.531,0.0936123,-0.0092184,1,0.0940651,-5.624044,3.824945E-005,4.039967,11,0.0549172,0.0051631,1474.493
1,7,15,2000.762,0.0951316,-0.0100248,1,0.0956584,-6.015519,3.646269E-005,4.039969,11,0.0537709,0.0051421,1474.493
1,8,16,1580.669,0.0967958,-0.0108182,1,0.0973985,-6.377077,3.56161E-005,4.039972,11,0.0527485,0.0051368,1473.314
1,9,18,1253.634,0.0985374,-0.0115807,1,0.0992156,-6.703019,3.434728E-005,4.039968,11,0.0517687,0.0051357,1474.493
1,10,19,1000.702,0.1003138,-0.0123004,1,0.1010651,-6.990675,-3.285302E-005,4.039917,11,0.0511515,0.0051693,1473.314
1,11,21,790.0281,0.1023134,-0.0130245,1,0.103139,-7.25473,-3.335084E-005,4.039918,11,0.0508339,0.0052428,1474.493
1,12,22,628.811,0.1043756,-0.0136665,1,0.1052666,-7.459644,3.392846E-005,4.039969,11,0.050499,0.0053157,1473.223
1,13,24,502.2321,0.1064456,-0.0143089,1,0.107403,-7.656056,3.298151E-005,4.039962,11,0.0480085,0.0052101,1474.583
1,14,25,400.1524,0.1087088,-0.0148711,1,0.1097213,-7.789578,3.347528E-005,4.039966,11,0.0515749,0.0056899,1474.583
1,15,26,315.5048,0.1111612,-0.0154346,1,0.1122277,-7.90493,3.233179E-005,4.039962,11,0.0507147,0.0057079,1473.404
1,16,28,252.0161,0.1136168,-0.0158764,1,0.1147207,-7.95481,-3.181561E-005,4.039958,11,0.0502425,0.0057731,1474.674
1,17,29,200.3205,0.1162027,-0.0162649,1,0.1173355,-7.967908,-3.386314E-005,4.039961,11,0.0500903,0.0058828,1473.676
1,18,31,158.0056,0.1190445,-0.0164589,1,0.1201769,-7.871719,-3.295075E-005,4.039958,11,0.0498529,0.0059944,1475.853
1,19,32,125.558,0.1218089,-0.0165387,1,0.1229266,-7.732117,3.451087E-005,4.039967,11,0.0495377,0.0060915,1475.763
1,20,33,99.734,0.1246073,-0.0164254,1,0.1256852,-7.509278,-3.516194E-005,4.039963,11,0.0490254,0.006163,1474.674
1,21,35,79.44915,0.1273847,-0.0160858,1,0.1283963,-7.19708,1.912827E-005,4.039972,11,0.0510346,0.0065535,1475.853
1,22,36,62.91946,0.1301489,-0.0155693,1,0.1310768,-6.821696,-4.697121E-005,4.039974,11,0.0500092,0.0065555,1474.674
1,23,38,49.86702,0.1328223,-0.0147911,1,0.1336433,-6.354295,1.958686E-005,4.039973,11,0.0500212,0.0066853,1475.853
1,24,39,38.42213,0.1355044,-0.0137337,1,0.1361986,-5.787285,1.906759E-005,4.039967,11,0.0500041,0.0068107,1474.583
1,25,41,31.25,0.1374902,-0.012733,1,0.1380785,-5.291094,1.903472E-005,4.039969,11,0.0500008,0.0069042,1475.672
1,26,42,24.93351,0.139351,-0.0115947,1,0.1398326,-4.756356,1.963273E-005,4.039974,11,0.0500023,0.006992,1474.039
1,27,44,20.03205,0.1409329,-0.0103755,1,0.1413143,-4.210545,-4.673498E-005,4.039968,11,0.0500029,0.0070662,1475.218
1,28,45,15.625,0.1423374,-0.0090963,1,0.1426278,-3.656586,1.941906E-005,4.039968,11,0.0499988,0.0071313,1473.676
1,29,47,12.46675,0.1433895,-0.007987,1,0.1436117,-3.188143,1.945604E-005,4.039978,11,0.0500007,0.0071807,1473.495
1,30,49,9.9734,0.1442088,-0.0070196,1,0.1443795,-2.78677,1.930236E-005,4.039977,11,0.0499995,0.0072189,1474.674
1,31,51,7.971939,0.1449093,-0.0062255,1,0.145043,-2.459981,1.889808E-005,4.039987,11,0.0500004,0.0072522,1473.495
1,32,53,6.351626,0.1454936,-0.0055214,1,0.1455983,-2.173285,1.888907E-005,4.039986,11,0.05,0.0072799,1473.495
1,33,55,5.013369,0.1460067,-0.004962,1,0.146091,-1.946425,-4.720132E-005,4.039989,11,0.050001,0.0073047,1474.946
1,34,57,3.985969,0.1464135,-0.0045571,1,0.1464844,-1.782746,1.840567E-005,4.039992,11,0.0499994,0.0073241,1473.495
1,35,60,3.175813,0.146806,-0.0043146,1,0.1468694,-1.683442,1.888663E-005,4.039997,11,0.0499996,0.0073434,1474.674
1,36,63,2.516103,0.1473993,-0.0041186,1,0.1474568,-1.600525,-4.470476E-005,4.04,11,0.0487722,0.0071891,1474.674
1,37,68,1.99553,0.1476932,-0.0040687,1,0.1477492,-1.578012,-4.384769E-005,4.040005,11,0.0508437,0.0074968,1476.035
1,38,73,1.587906,0.1480453,-0.0041361,1,0.1481031,-1.600335,2.065205E-005,4.04002,11,0.0502973,0.0074342,1474.674
1,39,78,1.258052,0.148439,-0.0043446,1,0.1485025,-1.67649,-4.423558E-005,4.040009,11,0.0500985,0.0074282,1474.674
1,40,86,0.997765,0.1489655,-0.0046084,1,0.1490367,-1.771938,-4.413576E-005,4.040025,11,0.0500235,0.0074472,1474.946
1,41,92,0.7927448,0.149428,-0.005028,1,0.1495126,-1.927181,-4.393223E-005,4.04003,11,0.05,0.0074701,1476.126
1,42,100,0.6290258,0.1499314,-0.0055477,1,0.150034,-2.11908,-4.381505E-005,4.040041,11,0.049995,0.0074973,1476.217
1,43,108,0.4988825,0.1506026,-0.0061584,1,0.1507285,-2.341627,-4.392675E-005,4.040045,11,0.0499948,0.0075333,1474.855
1,44,117,0.3985969,0.1512308,-0.0068587,1,0.1513863,-2.596744,1.962648E-005,4.040061,11,0.0499955,0.0075671,1476.307
1,45,131,0.316723,0.1519728,-0.0077011,1,0.1521678,-2.900938,1.922234E-005,4.040061,11,0.049998,0.0076071,1474.946
1,46,149,0.2514753,0.1528895,-0.0086651,1,0.1531348,-3.24379,1.864565E-005,4.040071,11,0.0499994,0.007656,1476.398
1,47,170,0.1999787,0.1538658,-0.0098333,1,0.1541796,-3.656713,1.817561E-005,4.040088,11,0.05,0.0077086,1475.128
1,48,192,0.1587906,0.1549585,-0.0111413,1,0.1553585,-4.112426,1.783467E-005,4.040101,11,0.0500009,0.0077678,1476.579
1,49,217,0.1260081,0.1563867,-0.0125848,1,0.1568923,-4.600819,1.781255E-005,4.040246,11,0.050001,0.0078446,1476.67
1,50,248,0.1001603,0.1580359,-0.0142022,1,0.1586728,-5.135195,1.719454E-005,4.0405,11,0.0500014,0.0079338,1474.311
2,0,4,10019.53,0.170307,-0.0030475,1,0.1703343,-1.025164,-2.712369E-005,4.049555,11,0.0473063,0.0080579,1474.946
2,1,5,7928.241,0.1714268,-0.0044886,1,0.1714855,-1.49989,-0.0002668,4.049428,11,0.0669922,0.0114882,1477.397
2,2,7,6307.871,0.1730499,-0.0057573,1,0.1731456,-1.905496,-0.0001069,4.049461,11,0.0725282,0.0125579,1474.946
2,3,8,5034.722,0.1740916,-0.0068699,1,0.1742271,-2.259816,-2.280661E-005,4.049514,11,0.0564883,0.0098053,1477.397
2,4,10,3993.056,0.1754602,-0.0078935,1,0.1756376,-2.575842,-2.264744E-005,4.049517,11,0.0591965,0.0103779,1476.67
2,5,11,3144.055,0.1764588,-0.0088743,1,0.1766818,-2.879041,3.055674E-005,4.049563,11,0.0568427,0.0100337,1476.217
2,6,13,2519.531,0.177776,-0.0097177,1,0.1780414,-3.128823,2.865255E-005,4.049562,11,0.0548515,0.0097608,1477.397
2,7,14,2000.762,0.1792085,-0.010558,1,0.1795192,-3.371677,2.726031E-005,4.049561,11,0.0537465,0.0096457,1477.397
2,8,16,1580.669,0.1810776,-0.0113725,1,0.1814343,-3.593728,2.63991E-005,4.049567,11,0.0526904,0.0095582,1477.397
2,9,17,1253.634,0.1825678,-0.0121753,1,0.1829733,-3.815351,2.552809E-005,4.049555,11,0.0517873,0.0094747,1475.128
2,10,19,1000.702,0.1844055,-0.0129462,1,0.1848594,-4.015872,-2.877254E-005,4.049525,11,0.0511559,0.0094561,1477.397
2,11,20,790.0281,0.1866678,-0.013705,1,0.1871703,-4.19909,-2.825225E-005,4.049514,11,0.0508274,0.009513,1476.67
2,12,21,628.811,0.1887232,-0.0144295,1,0.189274,-4.37226,2.617115E-005,4.049559,11,0.0504876,0.0095558,1476.217
2,13,23,502.2321,0.1910168,-0.0151188,1,0.1916142,-4.525472,2.44508E-005,4.049563,11,0.047994,0.0092924,1477.397
2,14,24,400.1524,0.1933341,-0.0157909,1,0.1939779,-4.669359,2.481045E-005,4.049564,11,0.0515585,0.0100561,1475.309
2,15,26,315.5048,0.1957659,-0.0164272,1,0.1964539,-4.796585,2.411183E-005,4.049564,11,0.0506991,0.0099886,1477.487
2,16,27,252.0161,0.1984285,-0.0169815,1,0.1991538,-4.891456,-2.489051E-005,4.049553,11,0.0502297,0.0100195,1477.487
2,17,28,200.3205,0.2010457,-0.0174443,1,0.2018011,-4.959023,-2.593036E-005,4.049562,11,0.0500771,0.0101149,1476.398
2,18,30,158.0056,0.2039209,-0.0178247,1,0.2046984,-4.995526,-2.77278E-005,4.049562,11,0.049839,0.0102074,1477.487
2,19,31,125.558,0.2067618,-0.0180211,1,0.2075456,-4.981246,2.417028E-005,4.049571,11,0.0496299,0.0103038,1476.126
2,20,32,99.734,0.2098624,-0.018001,1,0.210633,-4.902557,-2.872602E-005,4.049562,11,0.048914,0.0103049,1477.487
2,21,34,79.44915,0.2128878,-0.0177632,1,0.2136275,-4.769669,1.13908E-005,4.049573,11,0.0511265,0.0109234,1477.487
2,22,35,62.91946,0.2159654,-0.0173073,1,0.2166578,-4.58184,-4.250708E-005,4.049561,11,0.050011,0.0108361,1477.306
2,23,37,49.86702,0.2189567,-0.0166739,1,0.2195907,-4.354759,1.067888E-005,4.049581,11,0.0500185,0.0109841,1477.487
2,24,38,38.42213,0.2222492,-0.0156687,1,0.2228008,-4.03272,1.081556E-005,4.049572,11,0.0500032,0.0111411,1476.307
2,25,40,31.25,0.2245996,-0.014747,1,0.2250832,-3.756585,1.105076E-005,4.049584,11,0.0500018,0.0112548,1476.307
2,26,41,24.93351,0.227156,-0.0135499,1,0.2275597,-3.41367,1.108882E-005,4.049572,11,0.0500017,0.0113785,1476.851
2,27,43,20.03205,0.2293942,-0.0123173,1,0.2297246,-3.073548,-4.129801E-005,4.04958,11,0.0500026,0.0114869,1476.307
2,28,45,15.625,0.2311947,-0.0108836,1,0.2314507,-2.695243,1.040112E-005,4.049574,11,0.0499992,0.0115724,1477.487
2,29,46,12.46675,0.2324156,-0.0096224,1,0.2326147,-2.370781,1.08483E-005,4.049595,11,0.0499999,0.0116308,1477.487
2,30,48,9.9734,0.2331093,-0.0084859,1,0.2332637,-2.084813,1.092952E-005,4.049586,11,0.0500011,0.0116635,1476.307
