Date,Point,Step Point,Cycler Status,Remote Control,DC Out/In,Operation Mode,Regulation Mode,Time,Set Voltage (V),Set PS Current (A),Set PS Power (W),Set PS Res. (Ohm),Set EL Current (A),Set EL Power (W),Set EL Res. (Ohm),PSB Voltage (V),PSB Current (A),PSB Power (W),ADC Voltage (V),ADC Current (A),ADC Power (W),ADC T. Battery (°C),ADC T. Ambient (°C),ADC T. Shunt (°C),SOH PS (Ah),SOH EL (Ah)
2026/03/05 14:37:34,0,1,Step ON,On,On,UIR,Mode CC,0.0,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.870,-0.35,-1.0,3.028,-0.01,0.0,20.4,-55.0,20.3,0.000000,0.000000
2026/03/05 14:37:34,1,1,Step ON,On,On,UIR,Mode CC,0.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.417,-0.62,-1.6,3.030,-0.21,-0.6,20.4,-55.0,20.3,0.000000,0.000005
2026/03/05 14:37:34,2,1,Step ON,On,On,UIR,Mode CC,0.2,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.346,-0.62,-1.4,2.548,-0.59,-1.5,20.4,-55.0,20.3,0.000000,0.000019
2026/03/05 14:37:34,3,1,Step ON,On,On,UIR,Mode CC,0.3,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.300,-0.61,-1.4,2.459,-0.60,-1.4,20.4,-55.0,20.3,0.000000,0.000036
2026/03/05 14:37:34,4,1,Step ON,On,On,UIR,Mode CC,0.4,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.259,-0.60,-1.4,2.407,-0.59,-1.4,20.4,-55.0,20.3,0.000000,0.000053
2026/03/05 14:37:34,5,1,Step ON,On,On,UIR,Mode CC,0.5,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.201,-0.58,-1.3,2.365,-0.58,-1.3,20.4,-55.0,20.3,0.000000,0.000070
2026/03/05 14:37:34,6,1,Step ON,On,On,UIR,Mode CC,0.6,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.149,-0.59,-1.3,2.337,-0.58,-1.3,20.4,-55.0,20.3,0.000000,0.000086
2026/03/05 14:37:34,7,1,Step ON,On,On,UIR,Mode CC,0.7,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.318,-0.45,-1.1,2.315,-0.57,-1.3,20.4,-55.0,20.3,0.000000,0.000103
2026/03/05 14:37:34,8,1,Step ON,On,On,UIR,Mode CC,0.8,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.309,-0.44,-1.1,2.390,-0.44,-1.0,20.4,-55.0,20.3,0.000000,0.000116
2026/03/05 14:37:34,9,1,Step ON,On,On,UIR,Mode CC,0.9,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.300,-0.45,-1.1,2.385,-0.43,-1.0,20.4,-55.0,20.3,0.000000,0.000128
2026/03/05 14:37:35,10,1,Step ON,On,On,UIR,Mode CC,1.0,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.282,-0.43,-1.0,2.377,-0.43,-1.0,20.4,-55.0,20.3,0.000000,0.000140
2026/03/05 14:37:35,11,1,Step ON,On,On,UIR,Mode CC,1.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.249,-0.43,-1.0,2.368,-0.43,-1.0,20.4,-55.0,20.3,0.000000,0.000152
2026/03/05 14:37:35,12,1,Step ON,On,On,UIR,Mode CC,1.2,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.249,-0.42,-1.0,2.361,-0.43,-1.0,20.4,-55.0,20.3,0.000000,0.000165
2026/03/05 14:37:35,13,1,Step ON,On,On,UIR,Mode CC,1.3,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.231,-0.43,-1.0,2.350,-0.42,-0.9,20.4,-55.0,20.3,0.000000,0.000177
2026/03/05 14:37:35,14,1,Step ON,On,On,UIR,Mode CC,1.4,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.266,-0.43,-1.0,2.344,-0.41,-0.9,20.4,-55.0,20.3,0.000000,0.000189
2026/03/05 14:37:35,15,1,Step ON,On,On,UIR,Mode CC,1.5,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.259,-0.43,-1.0,2.337,-0.41,-0.9,20.4,-55.0,20.3,0.000000,0.000201
2026/03/05 14:37:35,16,1,Step ON,On,On,UIR,Mode CC,1.6,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.217,-0.42,-1.0,2.328,-0.41,-0.9,20.4,-55.0,20.3,0.000000,0.000212
2026/03/05 14:37:35,17,1,Step ON,On,On,UIR,Mode CC,1.7,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.217,-0.41,-1.0,2.323,-0.41,-0.9,20.4,-55.0,20.3,0.000000,0.000224
2026/03/05 14:37:35,18,1,Step ON,On,On,UIR,Mode CC,1.8,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.243,-0.41,-1.0,2.318,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000236
2026/03/05 14:37:36,19,1,Step ON,On,On,UIR,Mode CC,1.9,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.245,-0.41,-1.0,2.314,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000247
2026/03/05 14:37:36,20,1,Step ON,On,On,UIR,Mode CC,2.0,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.243,-0.41,-1.0,2.312,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000259
2026/03/05 14:37:36,21,1,Step ON,On,On,UIR,Mode CC,2.1,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.236,-0.41,-1.0,2.309,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000270
2026/03/05 14:37:36,22,1,Step ON,On,On,UIR,Mode CC,2.2,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.231,-0.41,-1.0,2.304,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000281
2026/03/05 14:37:36,23,1,Step ON,On,On,UIR,Mode CC,2.3,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.192,-0.40,-1.0,2.299,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000293
2026/03/05 14:37:36,24,1,Step ON,On,On,UIR,Mode CC,2.4,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.188,-0.40,-1.0,2.298,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000304
2026/03/05 14:37:36,25,1,Step ON,On,On,UIR,Mode CC,2.5,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.183,-0.40,-0.9,2.294,-0.40,-0.9,20.4,-55.0,20.3,0.000000,0.000315
2026/03/05 14:37:36,26,1,Step ON,On,On,UIR,Mode CC,2.6,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.183,-0.40,-0.9,2.291,-0.39,-0.9,20.4,-55.0,20.3,0.000000,0.000326
2026/03/05 14:37:36,27,1,Step ON,On,On,UIR,Mode CC,2.7,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.199,-0.40,-1.0,2.288,-0.39,-0.9,20.4,-55.0,20.3,0.000000,0.000338
2026/03/05 14:37:36,28,1,Step ON,On,On,UIR,Mode CC,2.8,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.201,-0.40,-1.0,2.285,-0.39,-0.8,20.4,-55.0,20.3,0.000000,0.000349
2026/03/05 14:37:37,29,1,Step ON,On,On,UIR,Mode CC,2.9,2.999,0.00,1.9,0.498,0.33,1.9,0.498,2.204,-0.40,-1.0,2.281,-0.39,-0.8,20.4,-55.0,20.3,0.000000,0.000360
